date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:48	35459/35459	---M--	200	added ('OK')	application/javascript	etag:%228a83-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/bootstrap.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/bootstrap.min.js	(from https://tieppoautomoveis.com.br/)
21:50:49	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/jquery.inview.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/jquery.inview.min.21.delayed	(from https://tieppoautomoveis.com.br/)
21:50:49	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/tweetie/tweetie.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/tweetie/tweetie.min.js	(from https://tieppoautomoveis.com.br/)
21:50:49	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/flexslider/jquery.flexslider-min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/flexslider/jquery.flexslider-min.js	(from https://tieppoautomoveis.com.br/)
21:50:50	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/owl.carousel.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/owl.carousel.min.js	(from https://tieppoautomoveis.com.br/)
21:50:50	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/isotope.pkgd.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/isotope.pkgd.min.js	(from https://tieppoautomoveis.com.br/)
21:50:50	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/imagesloaded.pkgd.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/imagesloaded.pkgd.min.js	(from https://tieppoautomoveis.com.br/)
21:50:51	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/jquery.nouislider.all.min.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/jquery.nouislider.all.min.js	(from https://tieppoautomoveis.com.br/)
21:50:51	505/505	---M--	404	error ('Not%20Found')	text/html	etag:%221f9-5d08e37c2ccc0%22	https://www.tieppoautomoveis.com.br/js/scripts.js	C:/tippoutomoveis/www.tieppoautomoveis.com.br/js/scripts.js	(from https://tieppoautomoveis.com.br/)
21:50:52	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1762a%22	http://code.jquery.com/jquery-latest.min.js	C:/tippoutomoveis/code.jquery.com/jquery-latest.min.js	(from https://tieppoautomoveis.com.br/)
21:50:52	95937/95937	---M--	200	added ('OK')	application/javascript	etag:%22176c1-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/jquery.min.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/jquery.min.js	(from https://tieppoautomoveis.com.br/)
21:50:53	57372/57372	---M--	200	added ('OK')	application/javascript	etag:%22e01c-5e8ac8f50a800%22	https://tieppoautomoveis.com.br/js/jquery.flexslider.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/jquery.flexslider.js	(from https://tieppoautomoveis.com.br/)
21:50:54	66417/66417	---M--	200	added ('OK')	application/javascript	etag:%2210371-5d08e37c2ccc0%22	https://tieppoautomoveis.com.br/js/bootstrap-multiselect.js	C:/tippoutomoveis/tieppoautomoveis.com.br/js/bootstrap-multiselect.js	(from https://tieppoautomoveis.com.br/)
